   43 # loci
#Locus  nsA     nsB    nsAB     nA     nB      SA      SB       D
mc1r    954     954     954    524      1      13       0       17.35

nt0784	464	464	464	40	1	6	0	6.65
nt0787	442	442	442	40	1	1	0	11.575
nt0812	336	336	336	40	1	1	0	5.025
nt0813	432	432	432	40	1	1	0	3.375
nt0864	369	369	369	40	1	1	0	6.025
nt0866	443	443	443	40	1	2	0	7.15
nt0946	316	316	316	40	1	0	0	4.0
nt0953	463	463	463	40	1	0	0	3.0
nt1251	447	447	447	40	1	5	0	7.225
nt1364	417	417	417	40	1	0	0	4.0
nt1386	356	356	356	40	1	1	0	7.8
nt1412n	431	431	431	40	1	3	0	6.925
nt1419	474	474	474	40	1	0	0	6.0
nt1482	360	360	360	40	1	2	0	4.95
nt1506	461	461	461	40	1	1	0	2.075
nt1584	482	482	482	40	1	0	0	10.0
nt1636	506	506	506	40	1	1	0	13.95
nt2018	526	526	526	40	1	2	0	8.1
nt2019	384	384	384	40	1	2	0	4.125
nt2020	450	450	450	40	1	1	0	7.75
nt2064	511	511	511	40	1	0	0	3.0
nt2085	544	544	544	40	1	0	0	8.0
nt2265	458	458	458	40	1	2	0	4.05
nt2266	469	469	469	40	1	0	0	6.0
nt2294	501	501	501	40	1	4	0	7.375
nt2352	511	511	511	40	1	2	0	7.2
nt2472	454	454	454	40	1	0	0	5.0
nt2558	439	439	439	40	1	3	0	5.05
nt2560	507	507	507	40	1	1	0	1.35
nt2563	525	525	525	40	1	0	0	7.0
nt2568	424	424	424	40	1	2	0	5.2
nt2609	452	452	452	40	1	1	0	6.05
nt2659	493	493	493	40	1	1	0	4.025
nt276_O	425	425	425	40	1	0	0	8.0
nt2906	372	372	372	40	1	1	0	1.025
nt2924	493	493	493	40	1	3	0	8.625
nt2963	351	351	351	40	1	1	0	1.1
nt2984	478	478	478	40	1	0	0	8.0
nt2986	410	410	410	40	1	1	0	6.15
nt2987	432	432	432	40	1	1	0	6.675
nt2988	468	468	468	40	1	4	0	5.85
nt598d4	503	503	503	40	1	2	0	3.425
